#"Progress (%)" "Step" "Time (ps)" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Box Volume (nm^3)" "Density (g/mL)" "Speed (ns/day)" "Time Remaining"
2.5% 2500 4.999999999999671 -477189.2205294492 91641.144774811 -385548.0757546382 300.9922099315345 420.873441535468 0.8669954616295488 0 --
5.0% 5000 10.000000000000009 -477823.269831629 91559.82900923886 -386263.44082239014 300.725131076922 404.92405153103476 0.9011451958755609 170 1:36
7.5% 7500 15.000000000001679 -480228.0504346853 91361.4125029638 -388866.6379317215 300.07343883914626 389.32707716317094 0.9372463030068895 171 1:33
10.0% 10000 19.999999999999794 -480083.65669962997 90570.12579043186 -389513.5309091981 297.4744846589066 383.5508285035803 0.9513611667984022 171 1:31
12.5% 12500 24.999999999997023 -479888.0284026754 91124.58161499712 -388763.4467876783 299.2955758767804 376.1886940064292 0.9699796127456817 171 1:28
15.0% 15000 29.99999999999425 -482100.9727698737 91689.07405024493 -390411.89871962875 301.14963199963205 370.73427995422 0.984250401060077 171 1:26
17.5% 17500 34.99999999999681 -482547.4472328685 91513.35769545357 -391034.08953741495 300.5724976340615 368.7087569945442 0.9896574377729231 170 1:23
20.0% 20000 40.00000000000292 -482482.63027013885 91325.46811806422 -391157.1621520746 299.95538073465474 369.2795482521537 0.9881277353667576 170 1:21
22.5% 22500 45.00000000000903 -482806.5749968155 91008.04575442297 -391798.5292423926 298.91281782310614 369.159851681781 0.9884481263856475 170 1:18
25.0% 25000 50.00000000001514 -482383.1364409835 91102.9556973055 -391280.180743678 299.22454628877387 369.32157672249207 0.9880152873002653 170 1:16
27.5% 27500 55.00000000002125 -481831.197659791 91135.3448917772 -390695.8527680138 299.3309274917357 369.13872576425007 0.9885046955617979 170 1:13
30.0% 30000 60.00000000002736 -481655.0448562796 91564.20082792873 -390090.8440283509 300.7394901660857 367.96327379922775 0.9916624557774705 170 1:11
32.5% 32500 65.00000000002991 -481690.2396839382 92013.11551359732 -389677.1241703409 302.2139351181009 368.9163506645253 0.9891005456233578 170 1:08
35.0% 35000 70.00000000001826 -482322.4004984554 91963.3892491798 -390359.0112492756 302.0506109010644 367.1342365430009 0.9939017596603832 169 1:06
37.5% 37500 75.00000000000661 -482643.0213723816 90451.42589024076 -392191.59548214084 297.08461889102506 369.16908803479697 0.9884233961031587 169 1:03
40.0% 40000 79.99999999999496 -481207.540906576 90902.37293958664 -390305.16796698933 298.56573907212123 368.9075400664671 0.9891241682561318 169 1:01
42.5% 42500 84.9999999999833 -482424.9033367797 91560.70476492785 -390864.1985718518 300.7280074665703 368.93120384146766 0.9890607244174935 169 0:58
45.0% 45000 89.99999999997165 -482183.14951514686 92375.92921708268 -389807.2202980642 303.40558433498757 369.8372061950503 0.986637789869135 169 0:56
47.5% 47500 94.99999999996 -483437.65492766164 91148.24242483766 -392289.412502824 299.37328899854657 368.7160258712542 0.9896379276421028 169 0:53
50.0% 50000 99.99999999994834 -482304.4403907135 90927.54748011951 -391376.892910594 298.6484239906435 369.52787677279963 0.987463698052778 169 0:51
52.5% 52500 104.99999999993669 -481425.22949858755 90895.54710609443 -390529.6823924931 298.54331985515813 370.2560278107262 0.9855217371861218 169 0:48
55.0% 55000 109.99999999992504 -481632.5253879167 90747.79153764428 -390884.73385027243 298.0580217373009 369.1683963769771 0.98842524797016 169 0:46
57.5% 57500 114.99999999991338 -481969.6998886815 91464.4515323171 -390505.24835636443 300.41186701167146 369.1383419107637 0.9885057234717451 169 0:43
60.0% 60000 119.99999999990173 -483989.62439376954 91050.38009593915 -392939.2442978304 299.0518635218505 368.89318067507566 0.9891626705158939 169 0:40
62.5% 62500 124.99999999989008 -481951.3021926298 90818.81743311323 -391132.48475951655 298.29130386501873 369.6380503336631 0.9871693766436598 169 0:38
65.0% 65000 129.99999999989262 -482070.138625938 91238.02601259248 -390832.1126133455 299.6681801258924 368.84774139337844 0.9892845279551183 169 0:35
67.5% 67500 134.9999999999165 -481829.1613717056 90525.81101929909 -391303.3503524065 297.32893430672976 369.70555106252795 0.9869891395543194 169 0:33
70.0% 70000 139.99999999994037 -483074.70022721123 91623.99176931405 -391450.7084578972 300.93587147085526 369.5693290266208 0.9873529404962496 169 0:30
72.5% 72500 144.99999999996425 -482620.45521724503 91596.36767910406 -391024.08753814094 300.8451410900849 369.5253180161924 0.9874705356878158 168 0:28
75.0% 75000 149.99999999998812 -482114.17331164284 92066.18050317816 -390047.9928084647 302.3882252638992 370.0925734538776 0.9859570007749282 168 0:25
77.5% 77500 155.000000000012 -483342.1370339417 90913.942441036 -392428.1945929057 298.6037387044654 367.4348926426835 0.9930884927864129 168 0:23
80.0% 80000 160.00000000003587 -482045.0532817757 91625.165729451 -390419.8875523247 300.9397273028274 370.6334669590348 0.9845181190072911 168 0:20
82.5% 82500 165.00000000005974 -481381.01389962854 90937.04104985297 -390443.9728497756 298.6796052961721 370.72713546386063 0.9842693691010672 168 0:17
85.0% 85000 170.00000000008362 -482245.89233681606 90697.05330152698 -391548.8390352891 297.8913737337813 368.1177799801562 0.9912462357871714 168 0:15
87.5% 87500 175.0000000001075 -482513.56862646993 90868.88057421683 -391644.6880522531 298.4557345420243 368.2160633909495 0.9909816545516543 168 0:12
90.0% 90000 180.00000000013137 -481941.8220043173 90226.6751299352 -391715.1468743821 296.34643269535513 368.51560391770596 0.9901761549645143 168 0:10
92.5% 92500 185.00000000015524 -482877.7040153337 92220.66933396878 -390657.0346813649 302.8956385519334 369.91423571368665 0.9864323362080304 168 0:07
95.0% 95000 190.0000000001791 -481852.646065461 91785.3831110794 -390067.2629543816 301.4659558204249 369.06151862133584 0.9887114893331633 168 0:05
97.5% 97500 195.000000000203 -482310.02212385787 91619.233199568 -390690.78892428987 300.92024211105735 369.3412846903352 0.9879625670268548 168 0:02
100.0% 100000 200.00000000022686 -481733.511912195 91997.96406365407 -389735.54784854094 302.1641706982729 369.9042231943675 0.986459036829986 168 0:00
